Amount,Use_Chip,Merchant_City,Gender,City,State,Per_Capita_Income_Zipcode,Yearly_Income_Person,Total_Debt,FICO_Score,Num_Credit_Cards,Card_Type,Credit_Limit,Fraud,Date,Age_Group
37.18,Online,ONLINE,Female,Summerville,SC,21769,44383,42369,707,7,Debit,620,No,2019-06-04,36-50
449,Swipe,Marysville,Male,Scarborough,ME,29237,59613,36199,763,4,Debit,24295,No,2011-03-19,26-35
25.16,Swipe,Oak Park,Male,Miltona,MN,15325,31244,51924,713,4,Debit,21968,No,2017-04-18,51-65
31.63,Swipe,Portage,Female,Knoxville,TN,24801,44469,12777,733,5,Debit,46414,No,2009-05-12,66+
1.55,Online,ONLINE,Female,Las Vegas,NV,19377,39508,18870,770,4,Debit,21968,Yes,2015-09-02,51-65
1.33,Online,ONLINE,Female,Muse,PA,14320,29194,10895,703,2,Debit,24295,Yes,2013-09-28,36-50
0.23,Swipe,Palm Coast,Female,Palm Coast,FL,17142,31805,614,755,6,Debit,21968,Yes,1996-07-07,66+
13.86,Swipe,Rome,Female,Mendham,NJ,91180,185909,461854,621,5,Debit,21968,Yes,2019-03-08,66+
22.32,Online,ONLINE,Female,Myrtle Beach,SC,19025,32817,27209,705,6,Debit,24295,Yes,2018-11-16,66+
1.85,Swipe,Cleveland,Female,Cleveland,OH,9389,13089,10928,772,4,Debit,24295,No,2005-07-22,66+
65.75,Swipe,Miami,Female,Miami,FL,20499,41800,67836,699,6,Debit,24295,No,2011-08-13,36-50
3.62,Chip,Killeen,Female,Killeen,TX,14665,29897,27736,760,6,Debit,620,No,2019-10-18,26-35
5.8,Swipe,Ewa Beach,Female,Ewa Beach,HI,22778,42306,472,725,5,Credit,12400,No,2012-10-01,66+
15.57,Chip,Riverside,Male,Riverside,CA,18619,37963,102716,772,4,Credit,12400,No,2017-01-31,51-65
10.04,Swipe,Houston,Female,Houston,TX,15862,32347,82667,784,7,Debit,620,No,2012-02-06,51-65
117.93,Swipe,Sacramento,Female,Elk Grove,CA,25949,52908,109229,709,4,Debit,46414,No,2012-08-03,51-65
165.2,Online,ONLINE,Male,Indianapolis,IN,14691,29957,60321,624,5,Debit,46414,Yes,2012-01-15,51-65
58,Swipe,Gainesville,Male,Gainesville,FL,25767,52538,132409,602,1,Debit,24295,No,2008-10-11,51-65
1.18,Chip,Rome,Female,Hendersonville,TN,25166,51316,0,759,6,Debit,21968,Yes,2019-06-22,51-65
47.68,Swipe,Louisville,Female,Louisville,OH,18936,38611,93255,755,5,Debit,46414,No,2014-08-01,36-50
66.45,Swipe,Loganville,Male,Loganville,GA,21556,43954,60913,744,3,Debit,21968,No,2011-11-14,36-50
443,Swipe,Mason,Female,Lakewood,NJ,13006,9795,396,771,7,Debit,24295,Yes,2007-02-15,66+
30.73,Chip,Providence,Male,Newport,RI,24194,49328,6197,693,5,Credit,12400,No,2017-12-12,36-50
24.7,Online,ONLINE,Male,Whitehouse Station,NJ,46827,104692,6955,704,2,Debit,24295,No,2009-05-23,66+
